"","OBJECTID","SITE_NAME","OWNERSHIP","PROTECTION","TYPECODE","DISTRICT","ACRES","ADDRESS","ZonAgg","TypeLong","OS_Own_Jur","OS_Mngmnt","POS","PA","ALT_NAME","AgncyJuris","Shape_STArea__","Shape_STLength__","PARK_ID","REGION","ShapeSTArea","ShapeSTLength","Lat","Lon"
"298",300,"Titus Sparrow Park","City of Boston","A97",3,"South End",1.7513453,"75 West Rutland Sq.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",78354.8400878906,1450.63185313862,42.3434613,-71.0789651
"305",307,"Ramsay Park","City of Boston","A97",3,"South End",5.49340772,"1917 Washington Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",239297.094238281,2040.89134576896,42.3344581,-71.0806043
"316",318,"Msgr. Reynolds Playground","City of Boston","A97",3,"South End",0.30609673,"Corner of Wash. & Msgr. Reynolds","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",13978.6530761719,468.044050747987,42.3404117,-71.0706692
"318",320,"Hiscock Park","City of Boston","A97",3,"South End",0.10572969," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",4605.66723632812,288.917773384004,42.3427127,-71.0781669
"319",321,"Billings Field","City of Boston","A97",3,"West Roxbury",10.77506733,"369 LaGrange Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",469370.27722168,2795.86270953861,42.281124,-71.1564661
"331",333,"Draper Playground","City of Boston","A97",3,"West Roxbury",5.79121761,"68 Stimpson Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",252269.923828125,2274.52071878554,42.2601001,-71.160819
"340",342,"Praught Bunker Fields","Private","A97",3,"West Roxbury",4.91796284," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",214230.269897461,2072.02846059935,42.2800418,-71.1668229
"341",343,"West Roxbury H.S. Athletic Fields","City of Boston"," ",3,"West Roxbury",13.42,"Off VFW Pkwy","Institutional District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",584754.097290039,4350.46898389438,42.2817899,-71.1764144
"342",344,"Catholic Memorial H.S. Athltc Fld","Private"," ",3,"West Roxbury",7.26006285," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",316253.999267578,2609.8191706012,42.2776416,-71.1660234
"345",347,"Mason Schoolyard","City of Boston"," ",3,"Roxbury",0.38047679," ","Industrial District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",16573.8637695312,774.322147766952,42.3259522,-71.0714584
"346",348,"Boys Club Park","Private"," ",3,"Roxbury",0.81512514," ","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",35507.4819335938,738.135661898197,42.3269529,-71.084504
"347",349,"UMass Boston Athletic Fields","Commonwealth of Massachusetts"," ",3,"Dorchester",18.4677814," ","Industrial District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",429393.071289062,4541.06620790688,42.3148413,-71.0367377
"348",350,"Claymont Terrace","Private"," ",3,"Dorchester",0.60573728," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",26386.3854980469,712.904108823591,42.2931981,-71.0527753
"349",351,"Lucy Stone Schoolyard","City of Boston"," ",3,"Dorchester",0.78345732," ","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",34128.0070800781,1512.69107863653,42.2954005,-71.0715977
"351",353,"Ramler Park","City of Boston","A97",3,"Fenway/Kenmore",0.51,"124 Peterborough Str.","Institutional District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Dorothy and David Ramler Park","",0,0,NA,"PARK_Maintenance_Region 3",22040.0981445312,604.725552000958,42.3425691,-71.1007045
"354",356,"Richmond & North Streets Park I","MassDOT","BPRD License",3,"Central Boston",0.09," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X","Richmond Street Play Area","",0,0,NA,"INFO_Reallocation From Dept",4137.63403320312,450.998622451872,42.3600825,-71.0588801
"360",362,"Penniman Road Play Area","City of Boston","A97",3,"Allston-Brighton",0.7600167,"25 Penniman Road","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Penniman-Hano Play Area","",0,0,NA,"PARK_Maintenance_Region 4",40176.2612304688,973.852337609695,42.3552734,-71.1369605
"361",363,"O'Day Playground","City of Boston","A97",3,"South End",0.71765517,"West Newton, San Juan, & Aquadilla Sts.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 6",31261.615234375,713.823213475785,42.3407587,-71.0753118
"364",366,"Martin's Park","City of Boston","A97/Ch91/WPA",3,"South Boston",0.85,"64 Sleeper St","Industrial District","Parks, Playgrounds & Athletic Fields","BPRD","Private","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",36917.0090332031,882.52373156341,42.3525357,-71.0494982
"371",373,"Pagoda Park","MassDOT"," ",3,"Central Boston",0.34,"Opposite 144 Kneeland Str.","Special District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",14674.0639648438,471.632837897077,42.3549544,-71.0654886
"376",378,"Veterans Park I","MassDOT"," ",3,"East Boston",0.37,"Corner of Decatur and London Sts","Open Space District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X","London & Decatur Sts Park I","",0,0,NA,"INFO_Reallocation From Dept",16020.3803710938,618.905630639902,42.328373,-71.0562767
"377",379,"Veterans Park II","City of Boston","A97",3,"East Boston",0.2,"76-84 London Street","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","London & Decatur St Park II","",0,0,NA,"INFO_Reallocation From Dept",8662.45336914062,376.583680585733,42.3723876,-71.0405838
"378",380,"Decatur & Meridian Streets Park","MassDOT"," ",3,"East Boston",0.2," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",8877.37475585938,616.352613055181,42.3600825,-71.0588801
"379",381,"East Boston Piers Park","Massport"," ",3,"East Boston",6.79," ","Open Space District","Parks, Playgrounds & Athletic Fields","Commonwealth of Massachusetts","Massport","N","X","Piers Park","Massport",0,0,NA,"INFO_Reallocation From Dept",295804.528808594,3637.08968559851,42.3649297,-71.0362458
"381",383,"Caldwell Street Play Area","City of Boston","A97",3,"Charlestown",0.11285785,"Adjacent to 13 Caldwell","Industrial District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",5554.73754882812,305.966730013355,42.3507371,-71.137796
"384",386,"Stonehill Park","City of Boston","A97",3,"Hyde Park",0.31754052,"2-16 Raldne St.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Coast Guard Park","",0,0,NA,"PARK_Maintenance_Region 4",15923.8787841797,555.378646591979,42.2547316,-71.1410453
"390",392,"Parkman Memorial","City of Boston","A97/GPOD",3,"Jamaica Plain",6.70969084,"Perkins Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",292279.328857422,4863.35864672405,42.3181537,-71.1244273
"399",402,"Reservation Road Park","City of Boston","A97/WPA",3,"Hyde Park",6.19562996,"151 Res. Road","Industrial District","Parks, Playgrounds & Athletic Fields","BCC","BPRD","X","X","Mother Brook II","",0,0,NA,"PARK_Maintenance_Region 4",406309.255126953,4770.62201734445,42.2505057,-71.1288836
