"","OBJECTID","SITE_NAME","OWNERSHIP","PROTECTION","TYPECODE","DISTRICT","ACRES","ADDRESS","ZonAgg","TypeLong","OS_Own_Jur","OS_Mngmnt","POS","PA","ALT_NAME","AgncyJuris","Shape_STArea__","Shape_STLength__","PARK_ID","REGION","ShapeSTArea","ShapeSTLength","Lat","Lon"
"803",809,"Hennigan Schoolyard","City of Boston","100",3,"Jamaica Plain",1.86," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",82063.6127929688,2412.58619533625,42.3260779,-71.1059516
"805",811,"Portsmouth Street Playground","City of Boston","A97",3,"Allston-Brighton",4.2823461,"35 Portsmouth Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",185610.087646484,1913.38879111584,42.3593091,-71.1454086
"815",821,"Castle Square Parks","BRA"," ",3,"South End",1.19," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",51812.046875,2254.52681475963,42.3456113,-71.0680693
"818",824,"Roberts Playground","City of Boston","A97",3,"Dorchester",10.18916048,"56 Dunbar Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",443387.329833984,3001.45957961185,42.285762,-71.073919
"819",825,"Willow Pond Meadow","Commonwealth of Massachusetts","A97/WPA",3,"Jamaica Plain",6.29554264," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR","DCR","X","X","Olmsted Park","",0,0,NA,"PARK_Maintenance_Region 3",272323.114746094,2217.40104114968,42.3243637,-71.1155145
"820",826,"Olmsted Park","City of Boston","A97/NRHP/RSP",3,"Jamaica Plain",42.95562559," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Daisy Field","",0,0,NA,"PARK_Maintenance_Region 3",1865347.22949219,8807.4838270083,42.3258562,-71.1148667
"823",829,"Frieda Garcia Park","City of Boston","A97",3,"Back Bay/Beacon Hill",0.27,"","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BPRD","Private","X","X","","BPRD",0,0,NA,"PARK_Maintenance_Ground Maintenance",11665.3823242188,486.116817178127,42.3481644,-71.0734547
"828",834,"George Wright Golf Course","City of Boston","A97",3,"Roslindale",156.37,"420 West Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",6794170.71801758,14378.2881265902,42.2684323,-71.1327971
"833",839,"The Park at Fan Pier","Private","Ch91",3,"South Boston",1.26,"68 Northern Avenue","Special District","Parks, Playgrounds & Athletic Fields","Private","Private","N","X","Marina Park","",0,0,NA,"INFO_Reallocation From Dept",55008.5549316406,1272.57570295491,42.3548753,-71.0462482
"834",840,"McLaughlin Playground","City of Boston","A97",3,"Jamaica Plain",11.72747534,"239 Parker Hill Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",508293.368164062,4113.63832795452,42.328156,-71.1028877
"838",844,"Butterfly Garden","Community Group/Nonprofit","",3,"Jamaica Plain",0.27,"9 Bucknam Street","Residential District","Parks, Playgrounds & Athletic Fields","","","N","X","Bucknam Street Garden","",0,0,NA,"INFO_Reallocation From Dept",11559.3784179688,450.634023422235,42.3269794,-71.1040483
"845",851,"LoPresti Park","City of Boston","A97",3,"East Boston",3.23,"33 Summer Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",140872.089355469,2467.90552121526,42.3701659,-71.0436481
"846",852,"Raymond V. Mellone Park I","City of Boston","A97",3,"Allston-Brighton",1.08,"","Special District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Library Park I","BPRD",0,0,NA,"INFO_Reallocation From Dept",47084.0236816406,1100.2018402076,42.3601306,-71.1280132
"847",853,"Raymond V. Mellone Park II","City of Boston","100",3,"Allston-Brighton",0.48,"","Special District","Parks, Playgrounds & Athletic Fields","","BPRD","N","X","Library Park II","BPL",0,0,NA,"INFO_Reallocation From Dept",20696.4418945312,955.866087523901,42.3601306,-71.1280132
"849",855,"Elliot Norton Park","City of Boston","A97",3,"Central Boston",0.77064426,"277 Tremont Str.","Special District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","BPRD",0,0,NA,"PARK_Maintenance_Region 1",41164.4694824219,1250.56050397471,42.3491235,-71.0660265
"851",857,"Beauford Play Area","City of Boston","A97",3,"Roxbury",0.23995873,"127 Howard Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," "," ",0,0,NA,"PARK_Maintenance_Region 5",10268.2390136719,411.343254800503,42.3600825,-71.0588801
"852",858,"King School Park","BRA"," ",3,"Roxbury",0.82,"110-122 Intervale St","Open Space District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",35736.2661132812,868.336938607812,42.3110873,-71.076426
"853",859,"Children's Park","City of Boston","A97",3,"Roxbury",0.19,"81-85 Intervale St","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",8435.740234375,368.180416223995,42.3105844,-71.0780509
"854",860,"Winthrop Playground","City of Boston","A97",3,"Roxbury",1.5608951," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",67993.7993164062,1070.2739640486,42.3600825,-71.0588801
"863",869,"Fredericks Middle School Playground","City of Boston"," ",3,"Roxbury",5.13,"262-274 Columbia Road","Industrial District","Parks, Playgrounds & Athletic Fields","NULL","BPS","N","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",223449.903564453,2439.94983078142,42.3091746,-71.0755999
"865",871,"Ceylon Park I","City of Boston","A97",3,"Roxbury",4.17142627,"Opposite 261 Magnolia Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 5",180796.145263672,2768.74271427553,42.3102596,-71.0739496
"866",872,"Ceylon Park II","BRA","",3,"Roxbury",0.49,"Opposite 261 Magnolia Str.","Open Space District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",21463.9992675781,1076.76984998632,42.3102596,-71.0739496
"867",873,"Dickerman School Yard","City of Boston","",3,"Roxbury",0.55,"Magnolia Street","Residential District","Parks, Playgrounds & Athletic Fields","NULL","","N","X","","BPS",0,0,NA,"INFO_Reallocation From Dept",23795.7104492188,809.900059710522,42.3109314,-71.0767176
"868",874,"Hannon Playground","City of Boston","A97",3,"Roxbury",1.97257523,"Opposite 624 Dudley Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Mary Hannon Plgd","",0,0,NA,"PARK_Maintenance_Region 5",85693.2504882812,1164.34823455915,42.3193858,-71.0715048
"871",877,"Old West Church Yard","Private","",3,"Central Boston",0.19,"131 Cambridge Street","Special District","Parks, Playgrounds & Athletic Fields","","","N","X","","",0,0,NA,"INFO_Reallocation From Dept",8183.076171875,416.755420010623,42.3616665,-71.0642296
"872",878,"Healy Playground","City of Boston","A97",3,"Roslindale",9.53912629,"Opposite 155 Florence Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",418345.942871094,2765.11862396763,42.2884376,-71.1238574
"873",879,"South End Library Park","City of Boston","",3,"South End",0.19,"685 Tremont St","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","NULL","BPRD","N","X"," ","BPL",0,0,NA,"PARK_Maintenance_Region 6",8242.4306640625,366.745913358429,42.3411074,-71.0773545
"874",880,"Menino Park","BRA","WPA/Ch91",3,"Charlestown",1.24,"First Avenue & Sixteenth Street","Special District","Parks, Playgrounds & Athletic Fields","BRA","Private+BPRD","X","X","Parcel 5 Park, Spaulding Park","BPRD",0,0,NA,"INFO_Reallocation From Dept",53867.345703125,1209.68395531372,42.3779187,-71.0482459
"875",881,"Mission Main Park","BHA","",3,"Mission Hill",0.71,"","Residential District","Parks, Playgrounds & Athletic Fields","","BHA","N","X","","BHA",0,0,NA,"INFO_Reallocation From Dept",31025.3869628906,701.691616989197,42.3336467,-71.1086821
"878",884,"Alice Taylor Homes Playlots","BHA","",3,"Mission Hill",0.15,"","Residential District","Parks, Playgrounds & Athletic Fields","","BHA","N","X","","",0,0,NA,"INFO_Reallocation From Dept",6537.1455078125,642.799313408689,42.3600825,-71.0588801
"880",886,"Mission Main Playlots","BHA","",3,"Mission Hill",0.82,"","Residential District","Parks, Playgrounds & Athletic Fields","","BHA","N","X","","BHA",0,0,NA,"INFO_Reallocation From Dept",35848.9396972656,2144.61150396213,42.3339639,-71.0987837
"881",887,"Mission Church Gardens","Private","",3,"Mission Hill",1.13,"1545-1565 Tremont St","Institutional District","Parks, Playgrounds & Athletic Fields","Private","Private","N","","","Private",0,0,NA,"INFO_Reallocation From Dept",49280.6462402344,1552.12381594272,42.3329846,-71.100056
"882",888,"Franklin Hill Green","BHA"," ",3,"Mattapan",0.51," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BHA","N","X"," ","BHA",0,0,NA,"PARK_Maintenance_Ground Maintenance",22055.3181152344,608.337333976785,42.2950873,-71.0905584
"883",889,"Spectacle Island I","City of Boston","A97",3,"Harbor Islands",86,"","Industrial District","Parks, Playgrounds & Athletic Fields","BPRD","DCR","X","X","Spectacle Island","BPRD",0,0,NA,"INFO_Reallocation From Dept",3746063.9621582,11421.4244313022,42.3600825,-71.0588801
"885",891,"Bunker Hill CC Athletic Fields","Commonwealth of Massachusetts"," ",3,"Charlestown",14.07," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL","COM","N"," "," ","COM",0,0,NA,"PARK_Maintenance_Region 1",612744.903808594,3979.86794267101,42.3849745,-71.0153111
"886",892,"Bunker Hill CC Campus Grounds","Commonwealth of Massachusetts","",3,"Charlestown",NA,"","Institutional District","Parks, Playgrounds & Athletic Fields","","COM","N","X","","COM",0,0,NA,"INFO_Reallocation From Dept",178364.306152344,2506.91863862564,42.3683362,-71.0384613
"888",894,"Cook Street Play Area","City of Boston","A97",3,"Charlestown",0.0981234,"Adjacent to 9 Hill Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",4414.66333007812,320.965970905935,42.3808848,-71.0640301
"890",896,"Charlestown Naval Shipyard Park II","Private","A97/LWCF/Ch91/W",3,"Charlestown",0.85580779," ","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X","Shipyard Park","",0,0,NA,"INFO_Reallocation From Dept",32836.6508789062,836.968249079921,42.3749415,-71.0540018
"891",897,"Navy Yard Grounds","United States of America","NPS",3,"Charlestown",3.58," ","Industrial District","Parks, Playgrounds & Athletic Fields","National Park Service"," ","X","X","Boston National Historical Par","",0,0,NA,"INFO_Reallocation From Dept",155968.322509766,5411.33778404156,42.3793599,-71.0510572
"892",898,"Christopher Columbus Park","City of Boston","A97/LWCF/Ch91/W",3,"Central Boston",4.74438387,"110 Atlantic Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Waterfront Park","",0,0,NA,"PARK_Maintenance_Region 1",211997.966064453,2041.98341225184,42.3609921,-71.0516339
"895",901,"Peter Looney Park","City of Boston","A97",3,"Charlestown",0.67,"127 Old Rutherford Ave.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Rutherford Union Playground","BPRD",0,0,NA,"PARK_Maintenance_Region 1",29114.2580566406,870.236985869131,42.3600825,-71.0588801
"898",904,"Charlestown Naval Shipyard Park I","BRA","A97/LWCF/Ch91/W",3,"Charlestown",9.58," ","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","NULL","","X","X","Shipyard Park","",0,0,NA,"PARK_Maintenance_Region 1",417339.073242188,7710.52496682853,42.3749415,-71.0540018
"903",909,"Umana Schoolyard","City of Boston"," ",3,"East Boston",2.52044147," ","Open Space District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",117673.202636719,1702.27663173596,42.3783625,-71.0407417
"906",912,"Jefferson Playground","City of Boston","A97",3,"Jamaica Plain",3.29588256,"Opposite 200 Heath Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 3",148127.943359375,1718.30815018171,42.3260166,-71.1086441
"912",918,"Amory Street Park","City of Boston","",3,"Jamaica Plain",NA,"","Residential District","Parks, Playgrounds & Athletic Fields","","DND","N","X","","DND",0,0,NA,"PARK_Maintenance_Region 3",5324.703125,304.147780452599,42.314675,-71.1046991
"913",919,"Kelly Outdoor Skating Rink","MBTA","",3,"Jamaica Plain",NA,"","Industrial District","Parks, Playgrounds & Athletic Fields","NULL","DCR","N","X","","DCR",0,0,NA,"INFO_Reallocation From Dept",15586.4899902344,591.760154102322,42.3182346,-71.1033055
"914",920,"New Academy Estates Courtyard","Private","",3,"Jamaica Plain",NA,"","Residential District","Parks, Playgrounds & Athletic Fields","","Private","N","X","","Private",0,0,NA,"INFO_Reallocation From Dept",3295.40795898438,360.146712779872,42.3178747,-71.0963575
"915",921,"New Academy Estates Half Court","Private","",3,"Jamaica Plain",NA,"","Residential District","Parks, Playgrounds & Athletic Fields","","Private","N","X","","Private",0,0,NA,"INFO_Reallocation From Dept",3945.57348632812,254.76500654519,42.3178747,-71.0963575
"916",922,"Hernandez Schoolyard","City of Boston","",3,"Jamaica Plain",NA,"","","Parks, Playgrounds & Athletic Fields","","BPS","N","X","","BPS",0,0,NA,"INFO_Reallocation From Dept",20354.8237304688,590.596373284842,42.3600825,-71.0588801
"917",923,"Philbrick Schoolyard","City of Boston"," ",3,"Roslindale",NA," ","Residential District","Community Gardens","NULL","BPS","N","X"," ","BPS",0,0,NA,"INFO_Reallocation From Dept",13073.5891113281,772.718408409948,42.3109764,-71.0688121
"918",924,"Dixwell Street Playlot","City of Boston","",3,"Jamaica Plain",NA,"17 Dixwell Street","Residential District","Parks, Playgrounds & Athletic Fields","","DND","N","X","","DND",0,0,NA,"INFO_Reallocation From Dept",4149.40380859375,267.00327432797,42.2958614,-71.1131006
"919",925,"Puopolo Playground","City of Boston","A97/Ch91/WPA",3,"Central Boston",2.09019043,"521 Commercial Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",156399.98828125,1670.44361305596,42.3687115,-71.0560417
"920",926,"Boston State Hospital Campus","Commonwealth of Massachusetts"," ",3,"Mattapan",17.69," ","Industrial District","Parks, Playgrounds & Athletic Fields","NULL","Private","N","X"," ","DCAMM",0,0,NA,"INFO_Reallocation From Dept",770574.512207031,4519.76628953125,42.3376672,-71.1052864
"921",927,"State Public Health Campus","Commonwealth of Massachusetts"," ",3,"Mattapan",11.81," ","Industrial District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","DCAMM",0,0,NA,"INFO_Reallocation From Dept",514243.163330078,6658.57426682579,42.2845016,-71.1014022
"922",928,"Olmsted Green Park","Private","",3,"Mattapan",0.09,"","Special District","Parks, Playgrounds & Athletic Fields","","Private","N","X","","",0,0,NA,"INFO_Reallocation From Dept",3823.85205078125,256.634303021738,42.2903818,-71.0950784
"924",930,"South Street BHA Play Area","BHA"," ",3,"Jamaica Plain",0.1," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","BHA","N","X"," ","BHA",0,0,NA,"INFO_Reallocation From Dept",4177.43579101562,308.592510269661,42.3060858,-71.1149991
"925",931,"Manning Schoolyard","City of Boston","",3,"Jamaica Plain",0.22,"","","Parks, Playgrounds & Athletic Fields","","BPS","N","X","","BPS",0,0,NA,"INFO_Reallocation From Dept",9740.5283203125,534.166181958495,42.8813967,-71.3265826
"927",933,"Salvation Army Field","Private"," ",3,"Dorchester",1.48," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL","Private","N"," "," ","NULL",0,0,NA,"INFO_Reallocation From Dept",64656.6486816406,1139.39412345359,42.3193174,-71.0706692
"928",934,"A Street Park I","City of Boston","A97",3,"South Boston",1.36,"135-141 A Street","Special District","Parks, Playgrounds & Athletic Fields","BPRD","Private","X","X","Channel Center Park","BPRD",0,0,NA,"INFO_Reallocation From Dept",59269.4663085938,1012.0906369162,42.3452839,-71.0524492
"932",938,"Stony Brook Commons Park","Private","",3,"Roslindale",1.53,"390 Blue Ledge Drive","Residential District","Parks, Playgrounds & Athletic Fields","","","N","","","",0,0,NA,"INFO_Reallocation From Dept",66604.6452636719,1129.20748135676,42.2741418,-71.1388938
"933",939,"Franklin Park","City of Boston","A97/WPA/NRHP",3,"Roxbury",392.16,"143 Seaver St.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X"," ","BPRD",0,0,NA,"PARK_Maintenance_Region 3",17082410.2321777,36183.7640744321,42.3030738,-71.0868152
"934",940,"Q Park","Private","Mitigation",3,"South Boston",0.6,"29 Stillings Street","Industrial District","Parks, Playgrounds & Athletic Fields","","","N","X","","",0,0,NA,"INFO_Reallocation From Dept",26110.5693359375,648.754887563687,42.3431008,-71.1024219
"936",942,"Adams Park","City of Boston","A97",3,"Roslindale",0.7,"Opposite 4228 Washington","Commercial/Office/Business District","Parks, Playgrounds & Athletic Fields","BPRD","Private","X","X","Irving W. Adams Park, Roslindale Square, Hartin Square","",0,0,NA,"PARK_Maintenance_Region 4",30714.7021484375,815.034434070241,42.2864997,-71.1284194
"937",943,"Arnold Arboretum","City of Boston","A97/GPOD/WPA",3,"Jamaica Plain",224.26,"Opposite 376 Arborway Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","Private","X","X"," ","BPRD",0,0,NA,"PARK_Maintenance_Region 3",9768623.9050293,21745.9966466707,42.3073674,-71.1207759
"938",944,"Soldiers Field","Private"," ",3,"Allston-Brighton",61.96925141," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," ","Harvard Ath. Flds.","",0,0,NA,"INFO_Reallocation From Dept",2682458.54443359,10870.5967119646,42.3645558,-71.1359136
"939",945,"YMCA Athletic Field","Private"," ",3,"Roxbury",2.34," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",101971.293945312,1364.88348284748,42.3407315,-71.0872924
"940",946,"Higginson Schoolyard","City of Boston","",3,"Roxbury",0.34619095," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",18216.2751464844,557.074598211977,42.3173549,-71.0916069
"941",947,"Windsor School Athletic Field","Private"," ",3,"Fenway/Kenmore",1.37," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",59819.078125,1016.70511016526,42.3397136,-71.1080321
"942",948,"Almont Park","City of Boston","A97",3,"Mattapan",17.04561712," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Hunt Playground","BPRD",0,0,NA,"PARK_Maintenance_Region 2",791322.692138672,4019.77682976824,42.2742287,-71.0969496
"944",950,"Mt. Vernon Street Plaza","Massport"," ",3,"Charlestown",0.15," ","Residential District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",6403.00170898438,416.482533627277,42.3201072,-71.0489521
"956",962,"Forbes Street Playground","City of Boston","A97",3,"Jamaica Plain",0.09," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",3970.39233398438,259.269668988149,42.3205082,-71.1061837
"957",963,"Union Park Street Playground","Boston Water & Sewer Commission","Lease",3,"South End",0.41," ","Special District","Parks, Playgrounds & Athletic Fields","BPRD"," ","N","X"," ","",0,0,NA,"INFO_Reallocation From Dept",17848.9033203125,576.866324971822,42.3395347,-71.0655784
"958",964,"Porzio Park II","City of Boston","",3,"East Boston",0.14,"","","Parks, Playgrounds & Athletic Fields","","","N","X","","DND",0,0,NA,"PARK_Maintenance_Region 1",6206.19921875,451.199765353796,42.3651506,-71.028859
"959",965,"Porzio Park","City of Boston","A97/WPA/Ch91",3,"East Boston",1.65840158,"14 Jeffries Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Jeffries Point Park","BPRD",0,0,NA,"PARK_Maintenance_Region 1",102871.093261719,2300.38278535598,42.3651506,-71.028859
"961",967,"Roxbury Latin Schl Athletic Fields","Private"," ",3,"West Roxbury",38.5," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N"," "," ","",0,0,NA,"INFO_Reallocation From Dept",1677064.28100586,10721.7341188369,42.2744731,-71.1578484
"964",970,"Ross Playground","City of Boston","A97",3,"Hyde Park",13.04038894,"130 Westminster Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",571686.079589844,3061.9440080639,42.2639195,-71.1132863
"966",972,"Canterbury II","Private","",3,"Roslindale",3.8,"","Conservation Protection Subdistrict","Parks, Playgrounds and Athletic Fields","","","N","","Sacred Heart School Field","",0,0,NA,"INFO_Reallocation From Dept",165642.9296875,1959.15756780094,42.2921066,-71.1006594
"967",973,"Canterbury III","Private","",3,"Roslindale",0.64,"","Residential District","Parks, Playgrounds and Athletic Fields","","","N","","Sacred Heart School Playground","",0,0,NA,"INFO_Reallocation From Dept",27706.4821777344,950.714344906289,42.2921066,-71.1006594
"972",978,"Savin Hill Park","City of Boston","A97",3,"Dorchester",8.29468216,"Opposite 124 Grampian Way","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 2",361100.154541016,2665.61079883448,42.3105804,-71.0486625
"975",981,"Orton Field","City of Boston","A97",3,"South Boston",1.59,"Crowley-Rogers Way, St Casimir St, Flaherty Way","Residential District","Parks, Playgrounds & Athletic Fields","BPRD","BPS","X","X","Condon Playground","BPRD",0,0,NA,"PARK_Maintenance_Region 6",69449.4838867188,1050.93504767708,42.3385595,-71.0533053
"976",982,"Paul Gore Street Park","City of Boston","A97",3,"Jamaica Plain",0.73,"60 Paul Gore Street","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Paul Gore Street Garden;  Paul Gore Street Playground","BPRD",0,0,NA,"PARK_Maintenance_Ground Maintenance",31971.4138183594,779.091241416227,42.3193007,-71.1075489
"977",984,"Allen Park","City of Boston","A97",3,"Dorchester",1.29," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Rev James K Allen Park, James F Donovan Park, Dorchester Square","",0,0,NA,"PARK_Maintenance_Region 2",56338.7407226562,957.857541837172,42.3081199,-71.0629623
"978",985,"Boston Nature Center_Visitor Ctr","City of Boston","Trust Fund",3,"Mattapan",1.99830697," ","Industrial District","Parks, Playgrounds & Athletic Fields","George Robert White Fund","Mass Audubon Society","X","X","G R White Env Conserv Ctr","",0,0,NA,"INFO_Reallocation From Dept",101515.178222656,1273.18167249917,42.2880994,-71.1012022
"981",988,"McLean Playground","City of Boston","A97",3,"East Boston",0.42966509,"Between Bennington & Saratoga St.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 1",18602.0874023438,547.960556914596,42.3826812,-71.0192256
"982",989,"Navy Fuel Pier Airport Edge Buffer","Massport","",3,"East Boston",0.84,"","","Parks, Playgrounds & Athletic Fields","","","N","X","","Massport",0,0,NA,"INFO_Reallocation From Dept",36742.26171875,1374.52468547087,42.363536,-71.0296404
"983",990,"Fidelis Way Park","City of Boston","A97",3,"Allston-Brighton",5.10486027,"Opposite 1505 Commonwealth Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","Overlook Park","BPRD",0,0,NA,"PARK_Maintenance_Region 4",213583.428955078,2611.58010845208,42.3479394,-71.1431806
"984",991,"Harambee Park","City of Boston","A97",3,"Mattapan",45.55780088,"120 Westview Str.","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Franklin Field","",0,0,NA,"PARK_Maintenance_Region 2",1949027.01489258,6423.91548567069,42.2920598,-71.0846897
"988",995,"VFW Parkway II","City of Boston","A97",3,"West Roxbury",0.65,"","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","","BPRD",0,0,NA,"PARK_Maintenance_Ground Maintenance",28162.59375,804.392489504737,42.266627,-71.1699808
"989",996,"Carroll Pond Playground","City of Boston","A97",3,"West Roxbury",0.47169423," ","Residential District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Ground Maintenance",21094.0067138672,581.308810372545,42.2564299,-71.1597978
"996",1402,"A Street Park II","City of Boston","",3,"South Boston",0.25,"135-141 A Street","Special District","Parks, Playgrounds & Athletic Fields","","Private","N","X","Channel Center Park","BPWD",0,0,NA,"INFO_Reallocation From Dept",10813.0524902344,746.948868255348,42.3604864,-71.0569267
"997",1405,"Blue Hill Club Recreation Center","City of Boston","A97",3,"Dorchester",3.04,"15 Talbot Street","Open Space District","Parks, Playgrounds & Athletic Fields","White Fund","Private","X","X","Berkshire Partners Blue Hill Club (Boys & Girls Club)","Trust Office",0,0,NA,"INFO_Reallocation From Dept",132501.762939453,1527.32366641503,42.3567779,-71.0519411
"999",1820,"Columbia Park","City of Boston","A97",3,"South Boston",0.34,"Columbia Road, Farragut Road, East Sixth Street","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD","BPRD","X","X","McGrail Memorial","BPRD",0,0,NA,"PARK_Maintenance_Ground Maintenance",14780.4072265625,545.242824231599,42.2630915,-71.0920922
"1001",2605,"Harrison Plympton Basketball Court","City of Boston","NULL",3,"South End",0.22,"","Special District","Parks, Playgrounds & Athletic Fields","","BPD","N","X","","BPD",0,0,NA,"INFO_Reallocation From Dept",9437.3701171875,399.342128136476,42.3600825,-71.0588801
